tempo;PV_real;PV_previsao;custo_energia_imp;custo_energia_exp;p_rede_imp_ref;p_rede_exp_ref
240;5.8;5.69;0.47;0.47;0.0;5.69
241;5.85;5.783333333333334;0.47;0.47;0.0;5.7833333
242;5.88;5.843333333333334;0.47;0.47;0.0;5.8433333
243;5.87;5.866666666666666;0.47;0.47;0.0;5.8666667
244;5.83;5.86;0.47;0.47;0.0;5.86
245;5.77;5.823333333333333;0.47;0.47;0.0;5.8233333
246;5.67;5.756666666666667;0.47;0.47;0.0;5.7566667
247;5.56;5.666666666666667;0.47;0.47;0.0;5.6666667
248;5.41;5.546666666666667;0.47;0.47;0.0;5.5466667
249;5.24;5.403333333333333;0.47;0.47;0.0;5.4033333
250;5.04;5.23;0.47;0.47;0.0;5.23
251;4.67;4.983333333333333;0.47;0.47;0.0;4.9833333
252;4.58;4.763333333333333;0.47;0.47;0.0;4.7633333
253;4.3;4.516666666666667;0.47;0.47;0.0;4.5166667
254;3.0;4.286666666666666;0.47;0.47;0.0;4.2866667
255;3.63;3.97;0.47;0.47;0.0;3.97
256;3.26;3.623333333333333;0.47;0.47;0.0;3.6233333
257;2.89;3.26;0.47;0.47;0.0;3.26
258;2.52;2.89;0.47;0.47;0.0;2.89
259;2.12;2.5100000000000002;0.47;0.47;0.0;2.51
260;1.72;2.12;0.65;0.65;0.0;2.12
261;1.33;1.7233333333333334;0.65;0.65;0.0;1.7233333
262;0.94;1.33;0.65;0.65;0.0;1.33
263;0.57;0.9466666666666668;0.65;0.65;0.0;0.94666667
264;0.11;0.5399999999999999;1.0;1.0;0.0;1.04
265;0.0;0.22666666666666666;1.0;1.0;0.0;0.72666667
266;0.0;0.03666666666666667;1.0;1.0;0.0;0.53666667
267;0.0;0.0;1.0;1.0;0.0;0.5
268;0.0;0.0;1.0;1.0;0.0;0.5
269;0.0;0.0;1.0;1.0;0.0;0.5
270;0.0;0.0;1.0;1.0;0.0;0.5
271;0.0;0.0;1.0;1.0;0.0;0.5
272;0.0;0.0;1.0;1.0;0.0;0.5
273;0.0;0.0;1.0;1.0;0.0;0.85
274;0.0;0.0;1.0;1.0;0.0;0.85
275;0.0;0.0;1.0;1.0;0.0;0.85
276;0.0;0.0;0.65;0.65;0.0;0.5
277;0.0;0.0;0.65;0.65;0.0;0.5
278;0.0;0.0;0.65;0.65;0.0;0.85
279;0.0;0.0;0.65;0.65;0.0;0.85
280;0.0;0.0;0.47;0.47;0.0;0.5
281;0.0;0.0;0.47;0.47;0.0;0.85
282;0.0;0.0;0.47;0.47;0.0;0.85
283;0.0;0.0;0.47;0.47;0.0;0.85
284;0.0;0.0;0.47;0.47;0.0;0.85
285;0.0;0.0;0.47;0.47;0.0;0.85
286;0.0;0.0;0.47;0.47;0.0;0.85
287;0.0;0.0;0.47;0.47;0.0;0.85
